Nazev;Autor;Spoluautori;DruhPublikace;Deponovano;SystemoveCislo;EvidencniCisloFEL;EvidencniCisloOddeleni;CarovyKod;PocetStran;Vydani;RokVydani;Vydavatel;ZemeVydani;ISBNorISSN;CisloCasopisu;RocnikCasopisu;Konference;Cena;KlicovaSlova;Poznamka;Vlozeno;ZapujcenoKomu;ZapujcenoOd;ZapujcenoDo;FormType;IntStatus;Extra3;Extra4;Extra5;StsCheck;StsUK;
PP Attachment Ambiguity Resolution through Supervised Learning;Štětina, Jiří;;Report;Katedra;;;Rep-1998-0001;;19;;1998;ČVUT Praha - FEL;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Etologické principy v mobilní robotice;Kurzveil, Jaroslav;;Report;Katedra;;;Rep-1998-0002;;36;;1998;ČVUT Praha - FEL;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Advanced Methods of Data Warehousing;Mikšovský, Petr;;Report;Katedra;;;Rep-1998-0003;;19;;1998;ČVUT Praha - FEL;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Řízení a stabilizace v biosystémech;Zavadil, Petr;;Report;Katedra;;;Rep-1999-0001;;25;;1999;ČVUT Praha - FEL;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Knowledge-Base Approaches in Information Systems;Matoušek, Kamil;;Report;Katedra;;;Rep-1999-0002;;27;;1999;ČVUT Praha - FEL;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
