Nazev;Autor;Spoluautori;DruhPublikace;Deponovano;SystemoveCislo;EvidencniCisloFEL;EvidencniCisloOddeleni;CarovyKod;PocetStran;Vydani;RokVydani;Vydavatel;ZemeVydani;ISBNorISSN;CisloCasopisu;RocnikCasopisu;Konference;Cena;KlicovaSlova;Poznamka;Vlozeno;ZapujcenoKomu;ZapujcenoOd;ZapujcenoDo;FormType;IntStatus;Extra3;Extra4;Extra5;StsCheck;StsUK;
Numerical Recipes: Example Book (Pascal);Vetterling, William T.;Teukolsky Saul A.,Press William H., Flannery,Brian P.;Book;;15231;931484;KAT-0251 (931484);BC000015231-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Foundations of Mathematical System Dynamics;Aulin,Arvid;;Book;;18163;931488;KAT-0252 (931488);BC000018163-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Neural Network Experiments on Personal Computers and Workstations;Korn Granino A.;;Book;;18164;931492;KAT-0253 (931492);BC000018164-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Informatika v klinické praxi pro lékaře a klinické biology;Berger, Josef;;Book;;18100;931750;KAT-0254 (931750);BC000018100-000030;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Fyziológia 1: Učebnica pre lekárske fakulty;Trojan, Stanislav;;Book;;15238;930889;KAT-0255 (930889);BC000015238-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Simulace biologických systémů;Pazourek, Jaroslav;;Book;;4315;931751;KAT-0256 (931751);BC000015223-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
STATGRAPHICS aneb statistika pro každého;Koschin Felix;Igor Kárník, Luboš Marek, Milan Průša, Hana Řezanková;Book;;96666;931757;KAT-0257 (931757);BC000018375-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Statistika pro obchod a hospodářství;Wonnacott, Thomas H.;Wonnacott, Ronald J.;Book;;97975;932212;KAT-0258 (932212);BC000016959-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Neuronové sítě a informační systémy živých organismů;Novák, Mirko;Faber Josef, Kufudaki Olga;Book;;4329;940033;KAT-0259 (940033);BC000015099-000040;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Fuzzy Sets and Applications: Selected Papers;Zadech L. A.;;Book;;18372;940020;KAT-0260 (940020);BC000018372-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Psychologický výkladový atlas;Janoušek, Jaromír;Hoskovec Jiří, Štikar Jiří";Book;;18744;940583;KAT-0261 (940583);BC000018744-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Fuzzy Set Theory and Its Applications;Zimmermann, Hans Jürgen;;Book;;18373;940627;KAT-0262 (940627);BC000018373-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Počítačové sítě LAN od A do Z;Schatt Stan;;Book;;99067;941640;KAT-0263 (941640);BC000018253-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Naučte se programovat ve Visual Basicu 3.0;Socha John;;Book;;18823;941027;KAT-0264 (941027);BC000018823-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
WinText602 v. 2.1: Od Textu602 k WinTextu;Pecinovský Rudolf;Jan Pecinovský;Book;;18842;941641;KAT-0265 (941641);BC000018842-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Ami Pro 3.0 a počítačová typografie;Černý, Vladislav;;Book;;18982;942106;KAT-0266 (942106);BC000018982-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Fyzioterapie pro každého;Krauss, Herbert;;Book;;19415;950149;KAT-0267 (950149);BC000019415-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Elektrokardiografický atlas: Základy elektrokardiografie;Šumbera, Josef;Štejfa, Miloš;Book;;19418;950152;KAT-0268 (950152);BC000019418-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Languages and Architectures for Image Processing;Duff, M.J.B. (ed.);;Book;;19443;950184;KAT-0269 (950184);BC000019443-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Syntactic Pattern Recognition Applications;Fu, K.S. (ed.);;Book;;19444;950185;KAT-0270 (950185);BC000019444-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Les nouyelles images: Introduction a límage informatique;Clayssen, D.;Lobstein, D., Zeitoun, J.;Book;;19453;950194;KAT-0271 (950194);BC000019453-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Psychotronika pro každého: Možnosti, užití, rozvoj schopností;Janča, Jiří;;Book;;19454;950195;KAT-0272 (950195);BC000019454-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Základy elektrokardiografie pro praktické lékaře;Lefflerová Kateřina;Jiří Widimský, Robert Čihák;Book;;19455;950196;KAT-0273 (950196);BC000019455-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Risk-sensitive Optimal Control;Whittle Peter;;Book;;19469;950210;KAT-0274 (950210);BC000019469-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Yearbook of Medical Informatics 92: Advances in an Interdisciplinary Science;van Bemmel, J.H. (ed.);McCray, A.T.;Book;;19513;950271;KAT-0275 (950271);BC000019513-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
System Analysis, Design and Optimization;Antamoshkin, A.;Schwefel, H.P., Törn, A., Yin, G., Žilinskas, A.;Book;;19514;950279;KAT-0276 (950279);BC000019514-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Computer: Aufgaben im Gesundheitswesen: Kolloguien;Hollberg, N. (ed.);Pleuss B., Rittersbacher H.;Book;;19515;950280;KAT-0277 (950280);BC000019515-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Computer: Aufgaben im Gesundheitswesen: Kolloguien;Hollberg, N. (ed.);Pleuss B., Rittersbacher H.;Book;;19515;950281;KAT-0278 (950281);BC000019515-000030;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Computer: Aufgaben im Gesundheitswesen: Kolloguien;Hollberg, N. (ed.);Pleuss B., Rittersbacher H.;Book;;19515;950282;KAT-0279 (950282);BC000019515-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Computer: Werkzeug der Medizin: Kolloguim Datenverarbeitung und Medizin, Schloss Reinhatrshausen in Erbach im Rheingau;Ehlers, C.Th. (ed.);;Book;;19516;950283;KAT-0280 (950283);BC000019516-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Computer: Werkzeug der Medizin: Kolloguim Datenverarbeitung und Medizin, Schloss Reinhatrshausen in Erbach im Rheingau;Ehlers, C.Th. (ed.);;Book;;19516;950284;KAT-0281 (950284);BC000019516-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Diagnostik-Informationssystem: Integrierte elektronische Datenverarbeitung für die ärztliche Diagnostik;Bock, H.E. (ed.);Eggstein, M.;Book;;19517;950285;KAT-0282 (950285);BC000019517-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Diagnostik-Informationssystem: Integrierte elektronische Datenverarbeitung für die ärztliche Diagnostik;Bock, H.E. (ed.);Eggstein, M.;Book;;19517;950286;KAT-0283 (950286);BC000019517-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Modeling and Control in Biomedical Systems:;Patterson, B.W. (ed.);;Book;;25024;951423;KAT-0284 (951423);BC000025024-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Word 6 - Kompendium;Camarda, Bill;;Book;;25186;951630;KAT-0285 (951630);BC000025186-000050;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Proceedings: Vision Milestones 95;Pinz, A. (ed.);Burger, W.;Book;;25175;951619;KAT-0286 (951619);BC000025175-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Proceedings: Angewandte Informatik und Software: Wissenschaft f. die Praxis. Turning Theory into Practice.;Schwärtzel, H. (ed.);;Book;;25176;951620;KAT-0287 (951620);BC000025176-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Proceedings: Database and Expert Systems Applications;Tjoa, A.M. (ed.);;Book;;25177;951621;KAT-0288 (951621);BC000025177-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Microsoft Word 6.0 CZ: Základní příručka uživatele;Šimek, Tomáš;Bříza,,Vladimír;Book;;95790;951631;KAT-0289 (951631);BC000095790-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Zpracování textů na PC - Text602;Horák, Jiří;;Book;;18402;951632;KAT-0290 (951632);BC000018402-000030;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Word: učebnice práce s texty a tabulkami;Makovička, Jiří;;Book;;25188;951633;KAT-0291 (951633);BC000025188-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Norton Commander 4.0;Kvoch Martin;;Book;;25189;951634;KAT-0292 (951634);BC000025189-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Příručka supervizora Novell Netware;Pavlů Jan;Heřman Pavel;Book;;8182;951636;KAT-0293 (951636);BC000014367-000040;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
WordPerfect for Windows;Acerson, Karen L.;;Book;;25418;952050;KAT-0294 (952050);BC000025418-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Komunikace s počítačem mluvenou řečí;Psutka, Josef;;Book;;8098;952067;KAT-0295 (952067);BC000025420-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Vše o INTERNETU: Průvodce uživatele a katalog zdrojů;Kroll Ed;;Book;;25271;952092;KAT-0296 (952092);BC000025271-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Číslicové systémy odolné proti poruchám;Hlavička, Jan;Racek Stanislav,Golan Petr,Blažek Tomáš;Book;;14733;952093;KAT-0297 (952093);BC000014733-000060;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Novellovský slovník sítí: Výkladový slovník termínů a zkratek z oblasti počítačových sítí. Technické a programové prostředky. NetWare, UNIX, OS/2, windows NT;Dyson, Peter;;Book;;18917;960297;KAT-0298 (960297);BC000018917-000030;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
WordPerfect 6.1 pro Windows - snadno a dobře;Kriegerbeck ,Slavomil;;Book;;25734;960501;KAT-0299 (960501);BC000025734-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Biokybernetika;Eck, Vladimír;Razím, Miroslav;Book;;25782;960980;KAT-0300 (960980);BC000025782-000110;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Biokybernetika;Eck, Vladimír;Razím,Miroslav;Book;;25782;960982;KAT-0301 (960982);BC000025782-000130;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Using and Understanding Medical Statistics;Matthews, David E.;Farewell, Vernon T.;Book;;26138;961573;KAT-0302 (961573);BC000026138-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Fuzzy Databases: Principles and Applicatons;Petry Frederick E.;;Book;;26139;961574;KAT-0303 (961574);BC000026139-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Lékařská přístrojová technika I;Chmelař, Milan;;Book;;26131;961618;KAT-0304 (961618);BC000026131-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Adaptation in Natural and Artificial Systems: An Introductory Analysis with Applications to Biology, Control, and Artificial Intelligence;Holland John H.;;Book;;26089;961652;KAT-0305 (961652);BC000026089-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Fuzzy Logic and Neural Network Handbook;Chen, C. H.;;Book;;26090;961660;KAT-0306 (961660);BC000026090-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Neurofuzzy Adaptive Modelling and Control;Brown, Martin;Harris,Chris;Book;;25110;961714;KAT-0307 (961714);BC000025110-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
The Biomedical Engineering Handbook;Bronzino, J.D.;;Book;;26274;962061;KAT-0308 (962061);BC000026274-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Používáme Internet s programem NETSCAPE NAVIGATOR 2;Tauber, Daniel A.;Kienan, Brenda;Book;;26282;962068;KAT-0309 (962068);BC000026282-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Genetic Algorithms in Engineering and Computer;Winter, G. (ed.);Périaux J., Galán M., Cuesta P.;Book;;26357;962285;KAT-0310 (962285);BC000026357-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Patente der Natur: Technische Systeme in der Tierwelt Biologische Systeme als Modelle für die Technik;Greguss, Ferenc;;Book;;26414;962367;KAT-0311 (962367);BC000026414-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Informační dálnice;Gates Bill;Nathan Myhrvold, Peter Rinearson;Book;;26365;962472;KAT-0312 (962472);BC000026365-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
WWW - informační servery;Berka, Milan;Hanáček Petr, Macur Jiří";Book;;26651;970702;KAT-0313 (970702);BC000026651-000040;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Data Warehouse: from architecture to implementation;Barry, Devlin;;Book;;27212;971886;KAT-0314 (971886);BC000027212-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Nonmonontonic Reasoning;Grigoris Antoniou;;Book;;27214;971888;KAT-0315 (971888);BC000027214-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Tracing Chains-of-Thought: Fuzzy Methhods in Cognitive Diagnosis;Benjoe, A. Juliano;Wyllis, Bandler;Book;;27182;972099;KAT-0316 (972099);BC000027182-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
The Evolution of Cognitive Maps: New Paradigms for the Twenty-First Century;Laszlo, Ervin (ed.);Masulli Ingazio, Artigiani Robert, Csányi Vilmos;Book;;28347;981884;KAT-0317 (981884);BC000028347-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Poruchy spánku a bdění;Nevšímalová, Soňa .[a kol.];;Book;;102035;982644;KAT-0318 (982644);BC000102035-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
;;;Book;;;;KAT-0319;;;;;;;;;;;;;;;;;;;WriteOff;;;;;;
Object-Oriented Programming with the X Window System Toolkits;Smith, Jerry D.;;Book;;;;KAT-0320 (4);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
An Open Look at Unix;Miller, John David;;Book;;;;KAT-0321 (6);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
XView Programmning Manual for Versiton 11 of the X Windows System;Heller, Dan;;Book;;;;KAT-0322 (7);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Proceedings: Interfaces to Database Systems (druhé vydání);Cooper,  Richard (ed.);;Book;;;;KAT-0323 (8);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Advanced Production System CAD/CAM for the Future;Björke,  Oyvind (ed.);;Book;?;;;KAT-0324 (11);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Logic Models of Design;Coyne, Richard;;Book;;;;KAT-0325 (12);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
On Object-Oriented Database Systems;Buchmann A.P., Dittrich, K.R. (ed.);;Book;;;;KAT-0326 (15);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Distribuované databázové systémy;Sokolowski P.;Pokorný J., Peterka J.;Book;;;;KAT-0327 (29);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Softwarové inženýrství;Král, J.;Demner ,J.;Book;;;;KAT-0328 (37);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Operating System;Tanenbaum;;Book;?;;;KAT-0329 (43);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Operační systémy;Plášil, F.;Staudek ,J.;Book;;;;KAT-0330 (45);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Integrated Process Control and Automation;Rijndorp ,J.E.;;Book;;;;KAT-0331 (61);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Systems Engineering Architecture and Design;Beam, W.R.;;Book;;;;KAT-0332 (62);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Mikroprocesory INTEL;Brandejs, Michal;;Book;;;;KAT-0333 (68);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Numerical Recipes in Pascal - The Art of Scient.Computing;Press, W.H.;Flannery, B.P.Vetterling, W.T.;Book;;15230;931493;KAT-0334 (931493);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Marketing-Management;Kotler, P.;;Book;;;;KAT-0335 (86);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Borland C++ Kompendium znalostí zkušeností;Renner, G.;;Book;;;;KAT-0336 (92);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Microsoft Windows 3.1 - Guide to Programmning;;;Book;;;;KAT-0337 (93);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
The Thinking Game;Meehan, E.J.;;Book;;;;KAT-0338 (102);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Spinning the Web How to Provide Information on the Internet;Ford, Andrew;;Book;;;;KAT-0339 (108);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Programming Perl;Wall, Larry;Schwartz, Randal;Book;;;;KAT-0340 (111);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Grundlagen von Datestrukturen in C;Horowitz, E.;Sahni S, Anderson Freed S;Book;;19504;950245;KAT-0341 (114);BC000019504-000010;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
A Directory of Electronic Mail;Frey, D.;Adams, R;Book;;;;KAT-0342 (121);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Oracle Performace Tuning (druhé vydání);Corrigan, P.;Gurry, M.;Book;;;;KAT-0343 (137);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Lafore´s Windows Programming Made Easy;Lafore, R;;Book;;;;KAT-0344 (150);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Programmiersprachen: Grundlagen, Konzepte, Entwurf;Louden, Kenneth C.;;Book;;19503;950244;KAT-0345 (183);BC000019503-000010;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
UNIX: Wie funktioniert das Betriebssystemĺ;Bach, Maurice J.;;Book;;19495;950236;KAT-0346 (185);BC000019495-000010;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Innovative Produktionstechnik;Krause, Frank-Lothar;Uhlmann, Eckart;Book;;;;KAT-0347 (195);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Microsoft Windows 95 Resource Kit;;;Book;;25808;960752;KAT-0348 (227);BC000025808-000010;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Mistrovství v DELPHI - 1.díl;Cantú, Marco;;Book;;;;KAT-0349 (244);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Mistrovství v DELPHI - 2.díl;Cantú, Marco;;Book;;;;KAT-0350 (245);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Windows pro pokročilé a experty: architektura 32bitových systémů Windows95 a Windows NT;Richter, Jeffrey;;Book;;27067;982161;KAT-0351 (415);BC000027067-000010;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
The Windows NT Device Driver Book: a guide for programmers;Baker, Art;;Book;;55642;982324;KAT-0352 (441);BC000055642-000020;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Windows Sockets Network Programming;Quinn, Bob;Shute,Dave;Book;;102180;982360;KAT-0353 (450);BC000102180-000010;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Word 7 pro Windows 95;Mansfield, Ron;;Book;;26504;982370;KAT-0354 (472);BC000026504-000010;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Vytváříme WWW stránky;Hlavenka, Jiří;Sedlář, Radek a kol.;Book;;;;KAT-0355 (478);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Aplikace jednočipových mikropočítačů INTEL;Šubrt, Vladimír;;Book;;;;KAT-0356 (479);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
JAVA ref.příručka jazyka (JAVA 1.1 !!!);Grand, Mark;;Book;;;;KAT-0357 (482);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Mastering Borland C++5;Swan, Tom;;Book;;102330;982778;KAT-0358 (507);BC000102330-000010;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Delphi 3 Programming;Don, Taylor (ed.);Mishel Jim, Penman John, Goggin Terence;Book;;102328;982773;KAT-0359 (517);BC000102328-000010;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Ready-to-Run Delphi 3.0 Algorithms;Stephens, Rod;;Book;;102331;982779;KAT-0360 (519);BC000102331-000010;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Programování v Microsoft ACCESS 2000;Dobson, Rick;;Book;;;;KAT-0361 (592);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Microsoft Visual C++ 6.0 - příručka programátora;Zaratian, Beck;;Book;;103115;990981;KAT-0362 (652);BC000103115-000010;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Mistrovství ve Visual C++ (6.0);Kruglinski, David J.;;Book;;103114;990980;KAT-0363 (653);BC000103114-000010;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
1001 tipů a triků pro Windows NT 4 Server;Cafourek, Bohdan;Břehovská, Jana;Book;;;;KAT-0364 (682);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Microsoft OLE DB 2.0 - Programmer´s Reference and Data Access SDK;;;Book;;;;KAT-0365 (788);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
JAVA Refenční příručka jazyka (JAVA 1.1 !!!);Grand, Mark;;Book;;;;KAT-0366 (791);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Základní průvodce Microsoft Visual J++ 6.0 - Příručka programátora;;;Book;;;;KAT-0367 (792);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Inside COM+ Base Services;Eddon, Guy;Eddon, Henry;Book;;104553;200550;KAT-0368 (794);BC000104553-000010;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Mistrovství ve VISUAL C++ - podrobný průvodce tvorbou aplikací;Kruglinski, David J.;;Book;;103114;200622;KAT-0369 (805);BC000103114-000020;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Special Edition: Using Visual C++5;Gregory, Kate;;Book;;104868;200784;KAT-0370 (834);BC000104868-000010;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Vytváříme WWW stránky - 4.aktualizované vydání;Hlavenka, Jiří;Sedlář, Radek, a další;Book;;;;KAT-0371 (843);;843;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Microsoft Excel 2000 - Programování ve VBA;Walkenbach, John;;Book;;105298;201195;KAT-0372 (866);BC000105298-000020;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Programování ve Windows pomocí MFC;Prosise, Jeff;;Book;;105300;201196;KAT-0373 (867);BC000105300-000040;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Velká kniha programování v OFFICE 2000;Scott,D.F.;;Book;;105358;210770;KAT-0374 (1007);BC000105358-000010;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Programujeme v Microsoft VISUAL;Kruglinski,David J.;Shepherd George, Wingo Scot;Book;;106603;210769;KAT-0375 (1008);BC000111859-000040;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Core JAVA - Volume II - Advanced Features (JAVA 1.2);Horstmann, Cay S.;Cornell,Gary;Book;;283671;221015;KAT-0376 (1232);BC000283671-000010;;;;;;;;;;;;;;;;;;WriteOff;;;;;;
Programování ve Windows pomocí MFC (Visual C++ 6.0);Prosise,Jeff;;Book;;112760;221043;KAT-0377 (1241);BC000112760-000010;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Programujeme v microsoft VISUAL;Kruglinski,David J.;Shepherd George, Wingo Scot;Book;;111859;221044;KAT-0378 (1242);BC000111859-000070;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
AI Game Programming Wisdom;Rabin, Steve (ed.);;Book;;294863;221680;KAT-0379 (1337);BC000294863-000010;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
MATLAB 2002 - díl I.;;;Book;;;;KAT-0380 (1341);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
MATLAB 2002 - díl II.;;;Book;;;;KAT-0381 (1342);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
JDK 1.4: Tutorial;Travis, Gregory M.;;Book;;295090;221739;KAT-0382 (1414);BC000295090-000010;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Java: servlety a stránky JSP;Hall, Marty;;Book;;156403;230015;KAT-0383 (1421);BC000156403-000010;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Swing;Robinson, Mattew;Vorobiev, Pavel;Book;;377124;230345;KAT-0384 (1448);BC000377124-000010;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
MCAD/MCSD Self-Paced Training Kit: Developing Web Applicationswith Microsoft Visual Basic.NET and Microsoft Visual C#.NET;;;Book;;540698;230901;KAT-0385 (1475);BC000540698-000060;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Developing WEB Applications with Microsoft Visual Basic .NET and Microsoft Visual C# .NET;;;Book;;;;KAT-0386 (1476);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
MCAD/MCSD Self-Paced Training Kit: Developing Web Applicationswith Microsoft Visual Basic.NET and Microsoft Visual C#.NET;;;Book;;540698;230896;KAT-0387 (1477);BC000540698-000010;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
MCAD/MCSD Self-Paced Training Kit: Developing Web Applicationswith Microsoft Visual Basic.NET and Microsoft Visual C#.NET;;;Book;;540698;230899;KAT-0388 (1478);BC000540698-000040;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
MCAD/MCSD Self-Paced Training Kit: Developing Web Applicationswith Microsoft Visual Basic.NET and Microsoft Visual C#.NET;;;Book;;540698;230900;KAT-0389 (1479);BC000540698-000050;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
MCAD/MCSD Self-Paced Training Kit: Developing Web Applicationswith Microsoft Visual Basic.NET and Microsoft Visual C#.NET;;;Book;;540698;230897;KAT-0390 (1480);BC000540698-000020;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
MCAD/MCSD Self-Paced Training Kit: Developing Web Applicationswith Microsoft Visual Basic.NET and Microsoft Visual C#.NET;;;Book;;540698;230898;KAT-0391 (1481);BC000540698-000030;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Developing WEB Applications with Microsoft Visual Basic .NET and Microsoft Visual C# .NET;;;Book;;;;KAT-0392 (1482);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Developing WEB Applications with Microsoft Visual Basic .NET and Microsoft Visual C# .NET;;;Book;;;;KAT-0393 (1483);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
