Nazev;Autor;Spoluautori;DruhPublikace;Deponovano;SystemoveCislo;EvidencniCisloFEL;EvidencniCisloOddeleni;CarovyKod;PocetStran;Vydani;RokVydani;Vydavatel;ZemeVydani;ISBNorISSN;CisloCasopisu;RocnikCasopisu;Konference;Cena;KlicovaSlova;Poznamka;Vlozeno;ZapujcenoKomu;ZapujcenoOd;ZapujcenoDo;FormType;IntStatus;Extra3;Extra4;Extra5;StsCheck;StsUK;
Discrete Fourier Transformers and their Applications;Čížek, V.;;Book;;14046;860653;KAT-0146 (860653);BC000014046-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Fuzzy množin a jejich aplikace;Novák, V.;;Book;;12554;860663;KAT-0147 (860663);BC000012554-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Základy technické kybernetiky;Balda, M.;;Book;;1332;861071;KAT-0148 (861071);BC000013270-000030;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Robotertechnik: Technik-Woerterbuch;Buerger, E.;Korzak, G.;Book;;11201;861143;KAT-0149 (861143);BC000011201-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Od logických obvodů k mikroprocesorům;Bernard, J. M.;Hugon J., Corvec R.;Book;;13362;861225;KAT-0150 (861225);BC000013362-000040;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Analýza kategorizovaných dat v sociologii;Řehák, J.,;Řeháková, B.;Book;;4360;861276;KAT-0151 (861276);BC000012873-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Numerické metody a matematická statistika;Havrda, J.;Míka S., Přikryl P.;Book;;14140;865227;KAT-0152 (865227);BC000014140-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Metody analýzy struktury systémů v ekonomice;Vepřek Jar.;Nedoma Josef;Book;;12427;870032;KAT-0153 (870032);BC000012427-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Výpočetní technika a moderní informační technologie;Ter-Manuelianc A.;;Book;;11631;870172;KAT-0154 (870172);BC000011631-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Histologie;Klika, Eduard (ed.);;Book;;14169;870037;KAT-0155 (870037);BC000014169-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Embryologie;Klika, Eduard (ed.);;Book;;11235;870040;KAT-0156 (870040);BC000011235-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Teorija verojatnostej i matematičeskaja statistika;Kolmogorov A. N.;;Book;;10696;870580;KAT-0157 (870580);BC000010696-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Anglicko-český slovník výpočetní techniky;Minihofer, Oldřich;Kratochvílová, J.;Book;;5186;870670;KAT-0158 (870670);BC000012585-000120;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Integrovaná optika;Čtyroký, Jiří;;Book;;151444;870790;KAT-0159 (870790);BC000011495-000030;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Obecná vývojová neurologie (druhé vydání);Lesný, I.;;Book;;11568;870932;KAT-0160 (870932);BC000011568-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
A Computer Model Skill Acquisition;Sussman G. J.;;Book;;12924;871165;KAT-0161 (871165);BC000012924-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Digital Pattern Recognition;Fu, K. S. (ed.);;Book;;17678;871167;KAT-0162 (871167);BC000017678-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Možet li mašina myslitĺ;Tjuring A.;;Book;;11651;871168;KAT-0163 (871168);BC000011651-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Matematičeskaja logika i osnovania matematiky;Chang Ch.;Lee, R. Ch.;Book;;14012;871170;KAT-0164 (871170);BC000014012-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Symbolic Logic and Mechanical Theorem Proving;Chang Ch. L.;Lee, R. Ch.;Book;;11437;871171;KAT-0165 (871171);BC000011437-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Základy numerické matematiky a programování;Černá, R.;Vogel J, Zlatník C.;Book;;72650;871523;KAT-0166 (871523);BC000014016-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Česko-anglický slovník výpočetní techniky;Minihofer, Oldřich;Kratochvílová, J.;Book;;5185;871555;KAT-0167 (871555);BC000012589-000130;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Standard Distributions in Texture Analysis;Matthies S.;G. W. Vinel, K. Helming;Book;;14250;871740;KAT-0168 (871740);BC000014250-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Prinjat rešenije - no kakĺ;Naumann  E.;;Book;;12669;880317;KAT-0169 (880317);BC000012669-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Numerické metody;Vitásek, E.;;Book;;5199;880386;KAT-0170 (880386);BC000011713-000090;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Numerické metody;Vitásek E.;;Book;;5199;880385;KAT-0171 (880385);BC000011713-000080;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Psychoterapie: Směry, metody, výzkum;Kratochvíl, Stanislav;;Book;;12414;880422;KAT-0172 (880422);BC000012414-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Patofyziologie krevního oběhu (druhé vydání);Fejfar, Z.;;Book;;11290;880423;KAT-0173 (880423);BC000011290-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Kompjuter-tvorec;Michie D.;R. Johnston, D. Miči, R. Džonston;Book;;12438;880510;KAT-0174 (880510);BC000012438-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Faktorová analýza a její zobecnění;Blahuš, Petr;;Book;;11079;880597;KAT-0175 (880597);BC000011079-000030;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Off-Line Programming of Industrial Robots;Storr, A. (ed.);;Book;;10296;880681;KAT-0176 (880681);BC000010296-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Theory of Reflection and Cybernetics;Zeman Jiří;;Book;;664460;880716;KAT-0177 (880716);BC000010199-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Statističeskaja obrabotka rezuĺtatov eksperimentov;Tichonov A. N.;M. V. Ufimcev;Book;;11645;880816;KAT-0178 (880816);BC000011645-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Vydajuščijesja matematiki;Borodin, A. I.;Bugaj, A.S.;Book;;11139;880870;KAT-0179 (880870);BC000011139-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Optimierungs-verfahren und BASIC-Programme;Richter C.;;Book;;;881038;KAT-0180 (881038);;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Gramatiky a jazyky;Molnár, Ludovít;Češka Milan, Melichar Bořivoj;Book;;10940;881122;KAT-0181 (881122);BC000010940-000050;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Integration of Science and the Systems Approach;Javůrek, Z. (ed.);;Book;;11494;881400;KAT-0182 (881400);BC000011494-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
