Název;Autor;Spoluautoři;Druh;Deponováno;SystemovéČíslo;EvidenřníČísloFEL;ČísloOddělení;ČárovýKód;Stran;Vydání;Rok;Vydavatel;Země;ISBNorISSN;ČísloČasopisu;RočníkČasopisu;Konference;Cena;KlíčováSlova;Poznámka;Vloženo;Zapůjčeno;ZapůjčenoOd;ZapůjčenoDo;Extra1;Extra1;Extra1;Extra1;Extra1
Using Conceptual Graphs in Narrative Authoring - II.;Křemen, Petr;;diplomová / bakalářská práce;Katedra;;;;;65;1. vydání;2005;ČVUT Praha - FEL;ČR;;;;;;;včetně CD;;volná;;;;;;;
Using Conceptual Graphs in Narrative Authoring - I.;Křemen, Petr;;diplomová / bakalářská práce;Katedra;;;;;65;1. vydání;2005;ČVUT Praha - FEL;ČR;;;;;;;včetně CD;;volná;;;;;;;
Tvorba geometrického modelu prostředí - II.;Ročeň, Václav;;diplomová / bakalářská práce;Katedra;;;;;44;1. vydání;2005;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Tvorba geometrického modelu prostředí - I.;Ročeň, Václav;;diplomová / bakalářská práce;Katedra;;;;;44;1. vydání;2005;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Software pro zpracování výsledků přístroje E.M.A.N. - 2.;Baxa, Václav;;diplomová / bakalářská práce;Katedra;;;;;68;1. vydání;2005;Czech Technical University in Prague;ČR;;;2005;;;;vč.CD;;volná;;;;;;;
Software pro zpracování výsledků přístroje E.M.A.N. - 1;Baxa, Václav;;diplomová / bakalářská práce;Katedra;;;;;68;1. vydání;2005;Czech Technical University in Prague;ČR;;;;;;;vč.CD;;volná;;;;;;;
Simulace výroby pomocí multiagentních systémů - 2.;Šmerák, Radek;;diplomová / bakalářská práce;Katedra;;;;;49;1. vydání;2005;Czech Technical University in Prague;ČR;;;2005;;;;vč. CD;;volná;;;;;;;
Simulace výroby pomocí multiagentních systémů - 1.;Šmerák, Radek;;diplomová / bakalářská práce;Katedra;;;;;49;1. vydání;2005;Czech Technical University in Prague;ČR;;;;;;;vč. CD;;volná;;;;;;;
Semantic Annotations - II.;Žáková MOnika;;diplomová / bakalářská práce;Katedra;;;;;92;1. vydání;2005;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Semantic Annotations - I.;Žáková MOnika;;diplomová / bakalářská práce;Katedra;;;;;92;1. vydání;2005;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
