Nazev;Autor;Spoluautori;DruhPublikace;Deponovano;SystemoveCislo;EvidencniCisloFEL;EvidencniCisloOddeleni;CarovyKod;PocetStran;Vydani;RokVydani;Vydavatel;ZemeVydani;ISBNorISSN;CisloCasopisu;RocnikCasopisu;Konference;Cena;KlicovaSlova;Poznamka;Vlozeno;ZapujcenoKomu;ZapujcenoOd;ZapujcenoDo;Extra1;Extra2;Extra3;Extra4;Extra5;StsCheck;StsUK;
Int. Journal of Computer Vision Vol.78;;;Journal;CMP;;;CMP-J0030;;;;2008;Springer-Verlag;NL;0920-5691;1;78;;;;;;VOLNÁ;;;;;;;;;;
International Journal of Computer Vision Vol.76;;;Journal;CMP;;290221;CMP-J0031;;;;2008;Springer-Verlag;USA;0920-5691;1,3;76;;11903,86 Kč;;;;VOLNÁ;;;;;;;;;;
International Journal of Computer Vision Vol.76;;;Journal;CMP;661172;290226;CMP-J0032;661172-1680;;;2008;Springer-Verlag;DE;0920-5691;1,2,3;78;;11903,86 Kč;;;;VOLNÁ;;;;;;;;;;
International Journal of Computer Vision Vol.77;;;Journal;CMP;661172;290227;CMP-J0033;661172-1700;;1. vydání;2008;Springer-Verlag;USA;0920-5691;1-3;77;;11903,86 Kč;;;;VOLNÁ;;;;;;;;;;
International Journal of Computer Vision Vol.78;;;Journal;CMP;661172;290228;CMP-J0034;661172-1810;;;2008;Springer-Verlag;NL;0920-5691;1,2-3;78;;11903,86 Kč;;;;VOLNÁ;;;;;;;;;;
International Journal of Computer Vision Vol.79;;;Journal;CMP;661172;290229;CMP-J0035;661172-1820;;;2008;Springer-Verlag;NL;0920-5691;1,2,3;79;;11903,86 Kč;;;;VOLNÁ;;;;;;;;;;
International Journal of Computer Vision Vol.80;;;Journal;CMP;661172;290230;CMP-J0036;661172-1830;;;2008;Springer-Verlag;DE;0920-5691;1,2,3;80;;11903,86 Kč;;;;VOLNÁ;;;;;;;;;;
Journal of Mathematical Imaging and Vision Vol.30;;;Journal;CMP;661011;290233;CMP-J0037;661011-940;;1. vydání;2008;Springer-Verlag;NL;0924-9907;1,2,3;30;;8439,20 Kč;;;;VOLNÁ;;;;;;;;;;
Journal of Mathematical Imaging and Vision Vol.31;;;Journal;CMP;661011;290234;CMP-J0038;661011-950;;;2008;Springer-Verlag;NL;0924-9907;1,2/3;31;;8439,20 Kč;;;;VOLNÁ;;;;;;;;;;
Journal of Mathematical Imaging and Vision Vol.32;;;Journal;CMP;661011;290235;CMP-J0039;661011-960;;1. vydání;2008;Springer-Verlag;NL;0924-9907;1,2,3;32;;8439,20 Kč;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.105;;;Journal;CMP;661040;280173;CMP-J0040;661040-1000;;1. vydání;2007;Elsevier Science Publishing Co.;Holandsko;1077-3142;1,2,3;105;;11681,75 Kč;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.106;;;Journal;CMP;661040;280174;CMP-J0041;661040-1010;;1. vydání;2007;Elsevier Science Publishing Co.;NL;1077-3142;1,2-3;106;;11681,75 Kč;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.107;;;Journal;CMP;661040;280175;CMP-J0042;661040-1020;;1. vydání;2007;Elsevier Science Publishing Co.;NL;1077-3142;1-2,3;107;;11681,75 Kč;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.108;;;Journal;CMP;661040;280176;CMP-J0043;661040-1030;;;2007;Elsevier Academic Press;NL;1077-3142;1-2,3;108;;11681,75 Kč;;;;VOLNÁ;;;;;;;;;;
Foundations and Trends in Computer Graphics and Vision Vol.3;;;Journal;CMP;;;CMP-J0044;;;1. vydání;2007;now Publishers Inc.;NL;1572-2740;4;3;;;;;;VOLNÁ;;;;;;;;;;
Image and Vision Computing Vol.25;;;Journal;CMP;661177;280177;CMP-J0045;661177-970;;;2007;Elsevier Science Publishing Co.;Holandsko;0262-8856;1,2,3,4,5,6,7,8,9,10,11,12;25;;42371,70 Kč;;;;VOLNÁ;;;;;;;;;;
Int. Journal of Computer Vision Vol.71;;;Journal;CMP;661172;290221;CMP-J0046;661172-1790;;;2007;Springer-Verlag;Německo;0920-5691;1,2,3;71;;12501,30 Kč;;;;VOLNÁ;;;;;;;;;;
Int. Journal of Computer Vision Vol.72;;;Journal;CMP;661172;290222;CMP-J0047;661172-1620;;1. vydání;2007;Springer-Verlag;Holandsko;0920-5691;1,2,3;72;;12501,30 Kč;;;;VOLNÁ;;;;;;;;;;
Int. Journal of Computer Vision Vol.73;;;Journal;CMP;661172;290223;CMP-J0048;661172-1640;;;2007;Springer-Verlag;Německo;0920-5691;1,2,3;73;;12501,30 Kč;;;;VOLNÁ;;;;;;;;;;
Int. Journal of Computer Vision Vol.74;;;Journal;CMP;661172;290224;CMP-J0049;661172-1660;;;2007;Springer-Verlag;DE;0920-5691;1,2,3;74;;12501,30 Kč;;;;VOLNÁ;;;;;;;;;;
Int. Journal of Computer Vision Vol.75;;;Journal;CMP;;;CMP-J0050;;;;2007;Springer-Verlag;USA;0920-5691;1,2,3;75;;;;;;VOLNÁ;;;;;;;;;;
Int. Journal of Computer Vision Vol.75;;;Journal;CMP;661172;290225;CMP-J0051;661172-1800;;;2007;Springer-Verlag;DE;0920-5691;1,2,3;75;;12501,30 Kč;;;;VOLNÁ;;;;;;;;;;
Journal of Mathematical Imaging and Vision Vol.26;;;Journal;CMP;661011;270219;CMP-J0052;661011-430;;;2007;Springer-Verlag;DE;0924-9907;1/2,3;26;;8518,30 Kč;;;;VOLNÁ;;;;;;;;;;
Journal of Mathematical Imaging and Vision Vol.27;;;Journal;CMP;661011;280160;CMP-J0053;661011-680;;1. vydání;2007;Springer-Verlag;Holandsko;0924-9907;1,2,3;27;;9029,30 Kč;;;;VOLNÁ;;;;;;;;;;
Journal of Mathematical Imaging and Vision Vol.28;;;Journal;CMP;661011;280161;CMP-J0054;661011-690;;;2007;Springer-Verlag;DE;0924-9907;1,2,3;28;;9029,30 Kč;;;;VOLNÁ;;;;;;;;;;
Journal of Mathematical Imaging and Vision Vol.29;;;Journal;CMP;661011;280162;CMP-J0055;661011-700;;;2007;Springer-Verlag;DE;0924-9907;1,2/3;29;;9029,30 Kč;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.101;;;Journal;CMP;661040;270254;CMP-J0056;661040-840;;;2006;Elsevier Science Publishing Co.;Holandsko;1077-3142;1,2,3;101;;12180 Kč;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.102;;;Journal;CMP;661040;270255;CMP-J0057;661040-850;;;2006;Elsevier Science Publishing Co.;Holandsko;1077-3142;1,2,3;102;;12180 Kč;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.103;;;Journal;CMP;661040;270256;CMP-J0058;661040-860;;1. vydání;2006;Elsevier Science Publishing Co.;Holandsko;1077-3142;1,2,3;103;;12180 Kč;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.104;;;Journal;CMP;661040;270257;CMP-J0059;661040-870;;;2006;Elsevier Science Publishing Co.;NL;1077-3142;1,2-3;104;;12180 Kč;;;;VOLNÁ;;;;;;;;;;
Foundations and Trends in Computer Graphics and Vision Vol.2;;;Journal;CMP;;;CMP-J0060;;;;2006;now Publishers Inc.;USA;1572-2740;1,4;2;;;;;;VOLNÁ;;;;;;;;;;
Image and Vision Computing Vol.24;;;Journal;CMP;661177;270230;CMP-J0061;661177-730;;;2006;Elsevier Science Publishing Co.;Holandsko;0262-8856;1,2,3,4,5,6,7,8,9,10,11,12;24;;41938,10 Kč;;;;VOLNÁ;;;;;;;;;;
Int. Journal of Computer Vision Vol.66;;;Journal;CMP;661172;270386;CMP-J0062;661172-1050;;;2006;Springer-Verlag;SRN;0920-5691;1,2,3;66;;11793,60 Kč;;;;VOLNÁ;;;;;;;;;;
